name,wins,looses,draws,ko_rate,stance,age,height,reach,country,height_m,reach_cm
lucas martin matthysse,39,5,0,80.0,Orthodox,39,5.54 ft (1.69 m),68.90 inches (175 cm),Argentina,1.69,175.0
Subriel Matias,15,0,0,100.0,Orthodox,30,5.68 ft (1.73 m),71.65 inches (182 cm),Puerto Rico,1.73,182.0
buster mathis,30,4,0,61.8,Orthodox,79,6.27 ft (1.91 m),75.98 inches (193 cm),United States,1.91,193.0
oleg maskaev,39,7,0,60.9,Orthodox,53,6.27 ft (1.91 m),79.13 inches (201 cm),Russian Federation,1.91,201.0
vanes martirosyan,36,4,1,51.2,Orthodox,36,6.00 ft (1.83 m),72.83 inches (185 cm),United States,1.83,185.0
maselino masoe,30,6,0,77.8,Orthodox,56,5.68 ft (1.73 m),68.11 inches (173 cm),New Zealand,1.73,173.0
sergio gabriel martinez,52,3,2,50.9,Southpaw,47,5.84 ft (1.78 m),72.83 inches (185 cm),Argentina,1.78,185.0
vince martinez,69,8,0,46.8,Orthodox,93,5.74 ft (1.75 m),69.69 inches (177 cm),United States,1.75,177.0
lloyd marshall,70,25,4,36.4,Orthodox,108,5.84 ft (1.78 m),74.41 inches (189 cm),United States,1.78,189.0
juan manuel marquez,56,7,1,62.5,Orthodox,48,5.58 ft (1.70 m),66.93 inches (170 cm),Mexico,1.7,170.0
miguel marriaga,29,4,0,73.5,Orthodox,35,5.68 ft (1.73 m),66.93 inches (170 cm),Colombia,1.73,170.0
rafael marquez,41,9,0,74.0,Orthodox,47,5.45 ft (1.66 m),68.11 inches (173 cm),Mexico,1.66,173.0
antonio margarito,40,8,0,54.0,Orthodox,44,5.91 ft (1.80 m),72.83 inches (185 cm),Mexico,1.8,185.0
abner mares,31,3,1,42.9,Orthodox,36,5.38 ft (1.64 m),66.14 inches (168 cm),Mexico,1.64,168.0
rocky marciano,49,0,0,87.8,Orthodox,98,5.87 ft (1.79 m),68.11 inches (173 cm),United States,1.79,173.0
ernesto marcel,40,4,2,50.0,Orthodox,74,5.51 ft (1.68 m),68.11 inches (173 cm),Panama,1.68,173.0
sammy mandell,146,26,17,16.8,Orthodox,118,5.58 ft (1.70 m),66.93 inches (170 cm),United States,1.7,170.0
jim maloney,4,9,2,20.0,Orthodox,55,5.41 ft (1.65 m),66.93 inches (170 cm),United States,1.65,170.0
marcos rene maidana,35,5,0,77.5,Orthodox,39,5.58 ft (1.70 m),68.90 inches (175 cm),Argentina,1.7,175.0
jessie magdaleno,27,1,0,62.1,Orthodox,30,5.35 ft (1.63 m),66.14 inches (168 cm),United States,1.63,168.0
diego magdaleno,31,3,0,38.2,Southpaw,35,5.51 ft (1.68 m),68.90 inches (175 cm),United States,1.68,175.0
yusaf mack,31,8,2,41.5,Orthodox,42,6.07 ft (1.85 m),75.20 inches (191 cm),United States,1.85,191.0
eddie machen,50,11,3,45.3,Orthodox,90,6.00 ft (1.83 m),75.20 inches (191 cm),United States,1.83,191.0
